1,0,3,81290,3934,31,4,81291,3935,4
2,0,3,81290,3934,32,5,81292,3936,5
3,1,4,81291,3935,44,7,81294,3938,7
4,2,5,81292,3936,51,9,81296,3940,9
5,0,3,81290,3934,30,8,81295,3939,8
6,4,7,81294,3938,70,4,81300,3944,4
7,1,4,81291,3935,43,2,81298,3942,2
8,1,9,81296,3940,94,8,81304,3948,8
9,2,10,81297,3941,11,10,81306,3950,1
10,0,3,81290,3934,30,4,81300,3944,4
11,0,3,81290,3934,31,5,81301,3945,5
12,0,4,81300,3944,42,7,81312,3956,7
13,2,6,81302,3946,60,10,81315,3959,1
14,3,2,81298,3942,22,7,81312,3956,7
15,0,4,81300,3944,40,10,81315,3959,1
16,1,9,81296,3940,92,7,81312,3956,7
17,4,7,81294,3938,71,6,81311,3955,6
18,1,10,81306,3950,14,10,81324,3968,1
19,1,5,81301,3945,50,6,81320,3964,6
20,0,4,81300,3944,40,6,81320,3964,6
